Orthogroups	Cyanobacterium_aponinum_pcc_10605.ASM31767v1	Nostoc_punctiforme_pcc_73102.ASM2002v1	Oscillatoriales_cyanobacterium_jsc_12.ASM30994v1	Totals	Domains
OG0000016	12	1	0	13	DUF5648 (1),Lipase_GDSL (1),CAP (1),Pro_isomerase (2)
OG0000017	12	1	0	13	OrfB_IS605 (12),HTH_OrfB_IS605 (12),OrfB_Zn_ribbon (11)
OG0000018	9	2	1	12	GGDEF (11),Response_reg (8),MASE1 (1),PAS_4 (1)
OG0000019	2	2	8	12	Cadherin_4 (5),Cadherin_3 (3),HemolysinCabind (3),CBM49 (1),Calx-beta (3),Cellulase (1),CBM_2 (1),FG-GAP (3),FG-GAP_3 (6),DUF4347 (5),Big_9 (4),PPC (1),Cadherin_5 (3),PD40 (1)
OG0000020	7	3	2	12	Glycos_transf_1 (9),Glyco_trans_1_4 (9),Glyco_transf_4 (4),Glyco_trans_1_2 (6),Glycos_transf_2 (1),Glyco_tranf_2_3 (1),Glyco_trans_4_4 (1)
OG0000021	5	4	3	12	MreB_Mbl (9),HSP70 (10)
OG0000022	0	11	1	12	Uma2 (8)
OG0000023	4	5	2	11	SLH (10),OprB (10)
OG0000024	10	0	1	11	NTP_transf_2 (11),Polbeta (11)
OG0000025	2	8	1	11	FGE-sulfatase (8),PK_Tyr_Ser-Thr (1),Pkinase (1),HEAT (1),NACHT (2),HEAT_2 (2),HEAT_PBS (2),NB-ARC (1)
OG0000026	1	9	1	11	HlyD_3 (9),Biotin_lipoyl_2 (7),HlyD_D23 (4)
OG0000027	0	11	0	11	DDE_Tnp_ISAZ013 (10)
OG0000028	0	10	1	11	HATPase_c (8),Response_reg (5),HisKA (7),PAS_8 (2),PAS_9 (2),PAS_4 (2),PAS (2),HATPase_c_5 (2),PAS_10 (1),PAS_3 (1)
OG0000029	0	8	3	11	HATPase_c (6),HAMP (4),Response_reg (6),HisKA (6),dCache_1 (3),PAS_4 (5),CHASE3 (1),PAS_8 (3),PAS_9 (4),PAS (4),GAF (2),PAS_3 (1),Guanylate_cyc (1),GAF_2 (1),DAHL (1)
OG0000030	0	11	0	11	
OG0000031	0	10	1	11	Pkinase (10),PK_Tyr_Ser-Thr (10),HATPase_c (10),AAA_16 (10),GAF (10),HisKA (9),PAS_9 (2),PAS_3 (1),GAF_2 (7),PAS (2),GAF_3 (4),ABC1 (2),PAS_4 (1),HATPase_c_5 (1),Kinase-like (1)
OG0000032	2	3	5	10	RRM_1 (9)
OG0000033	8	1	1	10	Pkinase (10),PK_Tyr_Ser-Thr (10),Pentapeptide_4 (5),ABC1 (7),Pentapeptide_3 (1),Pentapeptide (5),Kinase-like (2),SH3_3 (1)
OG0000034	1	8	1	10	Phage_integrase (6),Arm-DNA-bind_2 (1)
OG0000035	2	6	2	10	Mo-nitro_C (10)
OG0000036	8	1	1	10	AMIN (7),TonB_dep_Rec (10),Plug (10),OMP_b-brl_3 (1)
OG0000037	2	4	3	9	Macro (1),CHAT (7),CHASE2 (6)
OG0000038	4	4	1	9	Photo_RC (7)
OG0000039	3	5	1	9	Uma2 (7)
OG0000040	3	5	1	9	GHL10 (6),Glyco_hydro_66 (1),GHL6 (2),Melibiase (1)
OG0000041	1	7	1	9	NB-ARC (6),ANAPC4_WD40 (4),WD40 (4),NACHT (2),Pentapeptide (2),AAA_16 (1)
OG0000042	1	6	2	9	HSP20 (9),ArsA_HSP20 (8)
OG0000043	1	3	5	9	DUF2949 (9)
OG0000044	1	7	1	9	TehB (3),Methyltransf_25 (8),Methyltransf_23 (7),Methyltransf_11 (8),Methyltransf_2 (1),Methyltransf_31 (6),Ubie_methyltran (5),Methyltransf_12 (5),MTS (2),MetW (1)
OG0000045	0	9	0	9	rve (5),Tn7_TnsA-like_N (4),Mu-transpos_C (4)
OG0000046	0	9	0	9	GST_N (6),GST_N_3 (7),GST_N_2 (7),GST_C_2 (6),GST_C (5),GST_C_3 (5),GST_C_5 (1)
OG0000047	0	6	3	9	Glycos_transf_2 (8),Glyco_tranf_2_2 (8),Glyco_tranf_2_3 (8)
OG0000048	0	0	9	9	HATPase_c (8),GAF (5),Response_reg (6),HisKA (8),PAS_8 (2),PAS_4 (2),PAS_9 (2),PAS_3 (1),PAS (2),CHASE2 (2),GAF_3 (1),GAF_2 (2),HATPase_c_5 (1)
OG0000049	0	0	9	9	DDE_Tnp_1 (9),DDE_5 (8)
OG0000050	7	1	0	8	Nif11 (8)
OG0000051	3	3	2	8	Proton_antipo_M (7),Oxidored_q5_N (1)
OG0000052	7	0	1	8	HTH_18 (8),HTH_AraC (5)
OG0000053	1	4	3	8	HATPase_c (4),GAF_3 (3),HisKA_2 (3),GAF (4),PAS_9 (4),PAS_3 (4),PAS_4 (4),PAS_8 (4),GAF_2 (4),PAS (4),Response_reg (1),HWE_HK (1),HisKA (2)
OG0000054	2	3	3	8	Pentapeptide (7),Pentapeptide_4 (4),Pentapeptide_3 (1)
OG0000055	2	4	2	8	PDZ (4),Peptidase_M50 (5),Trypsin_2 (6),PDZ_2 (5),PDZ_6 (5),Trypsin (6)
OG0000056	4	4	0	8	DNA_methylase (7),Methyltransf_15 (1)
OG0000057	0	8	0	8	
OG0000058	0	8	0	8	
OG0000059	0	7	1	8	Pkinase (6),PK_Tyr_Ser-Thr (5),Kdo (4),Kinase-like (2),ABC1 (4),Pkinase_fungal (1),CHASE2 (1),TPR_8 (2),TPR_16 (1),WD40 (1),RIO1 (1),APH (1)
OG0000060	0	8	0	8	AAA_19 (2),Viral_helicase1 (2),TrwC (2),AAA_30 (2),DUF3854 (5)
OG0000061	0	8	0	8	3Beta_HSD (1),Epimerase (1),NAD_binding_4 (1),Polysacc_synt_2 (1),PP-binding (5),AMP-binding_C (1),AMP-binding (1)
OG0000062	0	7	1	8	HATPase_c (5),CBS (1),HisKA (5),Response_reg (4),PAS_8 (4),PAS_4 (5),PAS_9 (4),PAS_3 (5),PAS (4),CHASE3 (1),GAF_3 (1),GAF (1)
OG0000063	0	8	0	8	Bac_luciferase (6)
OG0000064	0	8	0	8	BTAD (1),TPR_2 (1),TPR_12 (1),TPR_19 (1),TPR_14 (1),TPR_1 (1),TPR_17 (1),TPR_11 (1),TIR (3),TPR_16 (1),TPR_6 (1),TPR_8 (1),TIR_2 (3),TPR_3 (1),TPR_10 (1),TPR_7 (1),EAD9 (1),Roc (2),LRR_5 (1),COR (1),LRR_4 (1),Ras (2),LRR_6 (1),LRR_1 (1),Arf (2),Gtr1_RagA (1),LRR_8 (1)
OG0000065	0	8	0	8	
OG0000066	0	8	0	8	
OG0000067	3	2	2	7	CheW (5),HATPase_c (5),Response_reg (5),H-kinase_dim (2),Hpt (4)
OG0000068	2	2	3	7	DUF4327 (6)
OG0000069	4	1	2	7	ABC_tran (7),ABC_membrane (6)
OG0000070	7	0	0	7	HepT-like (7)
OG0000071	7	0	0	7	DUF4114 (3),DUF11 (1),FG-GAP (1),FG-GAP_3 (1),Calx-beta (1),Cu-oxidase (2),Cu-oxidase_3 (2),Cu-oxidase_2 (3)
OG0000072	1	5	1	7	ABC1 (4),Pkinase (5),PK_Tyr_Ser-Thr (5),GUN4 (1),WD40 (1),Kdo (2),APH (1)
OG0000073	1	5	1	7	Uma2 (5)
OG0000074	1	5	1	7	ABC_tran (6)
OG0000075	5	1	1	7	DUF4388 (2),Response_reg (5)
OG0000076	1	2	4	7	Trans_reg_C (6),Hpt (6),Response_reg (6)
OG0000077	4	2	1	7	PIN_3 (6),PIN (2)
OG0000078	7	0	0	7	
OG0000079	1	2	4	7	Glycos_transf_1 (6),Glyco_trans_1_4 (6),Glyco_trans_1_2 (3),Glyco_trans_4_4 (3),Glyco_transf_4 (5)
OG0000080	2	3	2	7	Sigma54_activat (7),ClpB_D2-small (7),AAA_lid_9 (7),AAA_2 (7),AAA (7),Clp_N (7),AAA_5 (7),TniB (1)
OG0000081	4	0	3	7	NTP_transf_2 (7),Polbeta (6)
OG0000082	1	2	4	7	AMIN (6),Amidase_3 (6)
OG0000083	6	0	1	7	OrfB_IS605 (6),OrfB_Zn_ribbon (2)
OG0000084	2	4	1	7	Response_reg (6),HATPase_c (5),HisKA (3)
OG0000085	3	3	1	7	ANAPC4_WD40 (2),WD40 (6)
OG0000086	1	5	1	7	Uma2 (2)
OG0000087	3	2	2	7	AAA_5 (5),AAA_lid_3 (6),Peptidase_M41 (6),AAA (6),FtsH_ext (4)
OG0000088	1	5	1	7	
OG0000089	1	3	3	7	CHAT (7),TPR_16 (2),TPS (1),TPR_12 (4),TPR_7 (1),TPR_MalT (1)
OG0000090	4	1	2	7	MCPsignal (6),HAMP (5),GAF_3 (1),GAF (3)
OG0000091	1	6	0	7	DDE_Tnp_1 (5),DDE_5 (5)
OG0000092	1	2	4	7	PBS_linker_poly (7)
OG0000093	1	3	3	7	PMT_2 (5)
OG0000094	0	7	0	7	Phage_integrase (7),Phage_int_SAM_4 (7),Phage_int_SAM_5 (1)
OG0000095	0	7	0	7	HTH_3 (7),HTH_31 (5),DZR (7)
OG0000096	0	7	0	7	DDE_Tnp_1 (7)
OG0000097	0	7	0	7	AAA_22 (4),AAA (1)
OG0000098	0	7	0	7	KR (6),DehI (1),adh_short (6),adh_short_C2 (6),Epimerase (3)
OG0000099	0	7	0	7	Aldo_ket_red (4)
OG0000100	0	6	1	7	ANAPC4_WD40 (3),WD40 (3),eIF2A (2),TPR_12 (1)
OG0000101	0	6	1	7	AAA_16 (6),KAP_NTPase (3)
OG0000102	0	6	1	7	
OG0000103	0	5	2	7	Peripla_BP_6 (3),FGE-sulfatase (1),Peptidase_C14 (3),ANF_receptor (2),Pkinase (1),PK_Tyr_Ser-Thr (1),ABC1 (1),Peripla_BP_5 (1)
OG0000104	0	7	0	7	Uma2 (2)
OG0000105	0	7	0	7	DUF4157 (5),Het-C (1),OmpA (1),DUF922 (1)
OG0000106	0	7	0	7	
OG0000107	0	7	0	7	TauD (7),Condensation (1),PP-binding (1)
OG0000108	0	2	5	7	SLH (6),OprB (6)
OG0000109	0	6	1	7	Pkinase (2),PK_Tyr_Ser-Thr (2),TPR_2 (1),TPR_12 (1),TPR_1 (1),TPR_17 (1),TPR_11 (1),TPR_16 (1),TPR_8 (1),ABC1 (1),CHASE2 (1)
OG0000110	0	0	7	7	PMT_2 (1),Methyltransf_21 (3),TPR_4 (3),TPR_2 (4),TPR_12 (4),TPR_19 (4),TPR_MalT (1),TPR_1 (3),TPR_17 (3),TPR_11 (3),Glycos_transf_1 (1),Glyco_trans_1_4 (1),TPR_16 (4),TPR_6 (2),TPR_8 (4),TPR-S (1),TPR_3 (2),TPR_10 (3),TPR_7 (4),BTAD (1),TPR_14 (2),ANAPC3 (1),TPR_15 (1),Glyco_transf_9 (1),EST1_DNA_bind (1)
OG0000111	0	0	7	7	Peptidase_S8 (1),PPC (2),CARDB (1),FG-GAP_3 (3)
OG0000112	2	3	1	6	Beta-lactamase2 (6),AMIN (1)
OG0000113	2	3	1	6	PAF-AH_p_II (5),DUF1400 (6),Chlorophyllase (3),Chlorophyllase2 (3),Abhydrolase_1 (1)
OG0000114	1	4	1	6	FMN_red (4),Flavodoxin_2 (2)
OG0000115	1	2	3	6	E1-E2_ATPase (4),Cation_ATPase_N (4),Hydrolase (4),Cation_ATPase (3),Cation_ATPase_C (3),Hydrolase_3 (1),HAD (1)
OG0000116	1	4	1	6	
OG0000117	2	3	1	6	HlyD_3 (5),Biotin_lipoyl_2 (4),HlyD_D23 (4)
OG0000118	3	2	1	6	MMPL (6),SecD_SecF (3),ACR_tran (6)
OG0000119	2	2	2	6	ABC_tran (4),oligo_HPY (4)
OG0000120	5	1	0	6	DDE_3 (5)
OG0000121	5	0	1	6	HTH_29 (6),HTH_33 (4),HTH_28 (1),LZ_Tnp_IS481 (1),HTH_23 (1)
OG0000122	3	1	2	6	Sigma70_r4 (3),Sigma70_r4_2 (2)
OG0000123	2	2	2	6	DUF1822 (6)
OG0000124	2	2	2	6	Cpn60_TCP1 (6)
OG0000125	1	4	1	6	PemK_toxin (6)
OG0000126	4	1	1	6	Glyco_transf_41 (6),TPR_11 (1),TPR_2 (1)
OG0000127	2	2	2	6	Proton_antipo_M (6),Proton_antipo_N (6)
OG0000128	1	3	2	6	Glycos_transf_1 (6),Glyco_trans_1_4 (6),Glyco_trans_4_4 (1),Glyco_trans_1_2 (2),Glyco_transf_4 (1)
OG0000129	1	1	4	6	NMT1_2 (5),NMT1 (1)
OG0000130	3	1	2	6	ABC_tran (6),AAA_21 (2),Yop-YscD_cpl (1),FHA (1),ABC2_membrane_3 (1),ABC2_membrane (1)
OG0000131	2	2	2	6	ZnuA (5)
OG0000132	1	4	1	6	Transpeptidase (6),Transgly (6)
OG0000133	1	4	1	6	AAA_31 (6),CbiA (5),ParA (5),MipZ (1),FeS_assembly_P (1)
OG0000134	1	3	2	6	Response_reg (5),Sigma70_r4_2 (3),GerE (5),HTH_24 (2)
OG0000135	2	2	2	6	Photo_RC (6)
OG0000136	1	4	1	6	MFS_1 (5)
OG0000137	6	0	0	6	Peripla_BP_2 (6)
OG0000138	1	2	3	6	Acetyltransf_10 (3),Acetyltransf_1 (3),Acetyltransf_7 (3),FR47 (1),CMD (1)
OG0000139	3	1	2	6	PBP_like_2 (6),SBP_bac_1 (5),PBP_like (6)
OG0000140	1	3	2	6	AI-2E_transport (5)
OG0000141	1	5	0	6	TetR_C_7 (3),TetR_N (3)
OG0000142	2	3	1	6	TauE (5)
OG0000143	1	1	4	6	HTH_18 (6),HTH_AraC (6)
OG0000144	1	4	1	6	CheW (5)
OG0000145	2	4	0	6	Rieske (4),VanA_C (3),PaO (3)
OG0000146	1	5	0	6	DUF2887 (6),DUF4351 (2)
OG0000147	1	5	0	6	GUN4 (5),TIR_2 (2)
OG0000148	1	4	1	6	DUF3611 (6)
OG0000149	1	3	2	6	DnaJ_C (4),DnaJ (4)
OG0000150	1	5	0	6	SNase (5)
OG0000151	0	6	0	6	Response_reg (6)
OG0000152	0	6	0	6	TPR_MalT (1),TPR_12 (1),TPR_19 (1),AAA_16 (3),TPR_8 (1),CHAT (3),TPR_10 (1),TPR_7 (1),GUN4 (2),NB-ARC (1)
OG0000153	0	6	0	6	HTH_18 (5),Response_reg (3),HTH_AraC (5)
OG0000154	0	5	1	6	Response_reg (5),GerE (6),Sigma70_r4 (2),Sigma70_r4_2 (1)
OG0000155	0	5	1	6	TPS (6)
OG0000156	0	6	0	6	XisI (4)
OG0000157	0	6	0	6	TniQ (3)
OG0000158	0	5	1	6	Lipase_GDSL (3)
OG0000159	0	6	0	6	ADH_zinc_N (4),ADH_N (4),ADH_N_assoc (3)
OG0000160	0	6	0	6	AMPK1_CBM (2),Alpha-amylase (3),Alpha-amylase_C (3),CBM_48 (2)
OG0000161	0	6	0	6	AAA_31 (3),CbiA (2),GNVR (2),ParA (2),MipZ (1)
OG0000162	0	6	0	6	KR (4),adh_short (4),adh_short_C2 (4),PP-binding (1)
OG0000163	0	5	1	6	TPR_8 (1),AAA_35 (4),TPR_16 (1)
OG0000164	0	5	1	6	HATPase_c (5),PAS_8 (2),PAS_9 (3),HisKA (5),CHASE3 (2),GAF (1),PAS_4 (1),PAS (1)
OG0000165	0	5	1	6	HATPase_c (3),GAF (4),GAF_2 (4),HisKA (3),MCPsignal (1),GAF_3 (1)
OG0000166	0	6	0	6	PG_binding_1 (4),PG_binding_2 (1)
OG0000167	0	6	0	6	AAA_35 (4)
OG0000168	0	6	0	6	NHase_alpha (2)
OG0000169	0	1	5	6	PBP_like_2 (6),DUF4912 (4),SBP_bac_11 (1),LysR_substrate (2),PBP_like (2)
OG0000170	2	1	2	5	Na_H_Exchanger (5)
OG0000171	3	1	1	5	Pkinase (5),PK_Tyr_Ser-Thr (5)
OG0000172	1	2	2	5	CorC_HlyC (4),CNNM (4),CBS (4)
OG0000173	4	0	1	5	OrfB_IS605 (4),OrfB_Zn_ribbon (4)
OG0000174	1	4	0	5	DDE_Tnp_1 (4)
OG0000175	5	0	0	5	
OG0000176	3	1	1	5	CBM_48 (5),Alpha-amylase (5),Alpha-amylase_C (5)
OG0000177	3	1	1	5	CCG (5)
OG0000178	2	1	2	5	SLBB (4),Poly_export (4)
OG0000179	2	2	1	5	AI-2E_transport (5)
OG0000180	3	2	0	5	Dynamin_N (3),MMR_HSR1 (3)
OG0000181	2	1	2	5	STAS (5),Sulfate_transp (5)
OG0000182	1	1	3	5	PBP_like_2 (4),PBP_like (4)
OG0000183	1	2	2	5	Glycos_transf_1 (5),Glyco_trans_1_4 (5),Glyco_transf_4 (5),Glyco_trans_4_4 (2),Glyco_trans_4_2 (1)
OG0000184	3	1	1	5	AIM24 (5)
OG0000185	1	2	2	5	Usp (5)
OG0000186	1	2	2	5	PP2C (3),PP2C_2 (4)
OG0000187	1	2	2	5	CpeS (5)
OG0000188	1	3	1	5	HATPase_c (3),Hpt (3),CheW (4),Response_reg (3),H-kinase_dim (2)
OG0000189	5	0	0	5	OrfB_IS605 (5),HTH_OrfB_IS605 (5),OrfB_Zn_ribbon (5)
OG0000190	1	2	2	5	
OG0000191	1	3	1	5	Chloroa_b-bind (2)
OG0000192	2	2	1	5	Response_reg (5),SpoIIE (5),PAS_8 (1),PAS_9 (1),PAS_4 (1),PAS_3 (1),PAS (1)
OG0000193	1	2	2	5	FA_hydroxylase (3),Rhodanese (2)
OG0000194	1	3	1	5	NmrA (5),NAD_binding_10 (5),3Beta_HSD (3),Epimerase (5)
OG0000195	3	1	1	5	Cas_Cas1 (5)
OG0000196	1	3	1	5	Epimerase (5),Polysacc_synt_2 (5),RmlD_sub_bind (5),GDP_Man_Dehyd (5),Glyco_hydro_1 (1),3Beta_HSD (2),NAD_binding_4 (1)
OG0000197	1	4	0	5	LANC_like (4),DUF4135 (4)
OG0000198	1	3	1	5	GDP_Man_Dehyd (5),PglD_N (1),Epimerase (5),Polysacc_synt_2 (5),CoA_binding_3 (3),adh_short (1),3Beta_HSD (4),NAD_binding_4 (3),NmrA (1),RmlD_sub_bind (4),NAD_binding_10 (1),CoA_binding (1),KR (1)
OG0000199	3	0	2	5	MipZ (2),CbiA (3),ParA (3),Wzz (3),AAA_31 (4)
OG0000200	1	2	2	5	His_Phos_1 (4)
OG0000201	2	2	1	5	TamB (3),DUF748 (3)
OG0000202	5	0	0	5	YoeB_toxin (5),ParE_toxin (3)
OG0000203	5	0	0	5	PhdYeFM_antitox (5)
OG0000204	1	3	1	5	HATPase_c (4),HisKA (4),ArlS_N (2)
OG0000205	1	3	1	5	HicB_lk_antitox (3)
OG0000206	3	1	1	5	Pilin_GH (4),N_methyl (5)
OG0000207	3	1	1	5	CRISPR_Cas6 (5),CRISPR_Cas6_N (4)
OG0000208	2	2	1	5	OEP (4)
OG0000209	3	1	1	5	Aminotran_3 (4)
OG0000210	2	1	2	5	ABC_tran (5)
OG0000211	2	1	2	5	CRCB (5)
OG0000212	1	1	3	5	PRC (4)
OG0000213	1	4	0	5	PAP2 (3)
OG0000214	3	1	1	5	SBP_bac_3 (5),NMT1 (1)
OG0000215	2	1	2	5	FecCD (2),ABC-3 (5)
OG0000216	1	4	0	5	HTH_Crp_2 (4)
OG0000217	2	1	2	5	B12-binding (5),DUF4070 (5),Radical_SAM (5)
OG0000218	1	3	1	5	PMT_2 (4),PMT (4)
OG0000219	1	3	1	5	cNMP_binding (5)
OG0000220	2	2	1	5	Uma2 (5)
OG0000221	1	2	2	5	NTP_transferase (5),NTP_transf_3 (3)
OG0000222	3	1	1	5	KTI12 (2),AAA_33 (3),WYL (3)
OG0000223	1	2	2	5	TPR_8 (3),TPR_2 (1),TPR_16 (2),TPR_19 (1),TPR_15 (1),TPR_10 (1)
OG0000224	3	1	1	5	FecCD (5)
OG0000225	3	2	0	5	MFS_3 (5),MFS_1 (5)
OG0000226	1	2	2	5	MotA_ExbB (4)
OG0000227	1	3	1	5	DUF1400 (3),Lipase_GDSL_2 (1)
OG0000228	1	2	2	5	Methyltransf_33 (5)
OG0000229	1	3	1	5	NblA (5)
OG0000230	1	3	1	5	GDPD (3),HemolysinCabind (1),Phytase-like (1)
OG0000231	1	3	1	5	Uma2 (4)
OG0000232	1	3	1	5	Tudor-knot (2),Agenet (1)
OG0000233	1	3	1	5	DUF3370 (3)
OG0000234	1	3	1	5	Nitroreductase (4)
OG0000235	3	1	1	5	HTH_1 (5),LysR_substrate (5)
OG0000236	1	1	3	5	Uma2 (5)
OG0000237	1	3	1	5	VWA_3 (5),VWA (5),VWA_2 (5)
OG0000238	1	3	1	5	Flavin_Reduct (3),Flavodoxin_1 (3)
OG0000239	1	3	1	5	Response_reg (4)
OG0000240	1	3	1	5	SBP_bac_11 (5),SBP_bac_1 (3),Phosphonate-bd (1),OpuAC (1)
OG0000241	2	2	1	5	23S_rRNA_IVP (5)
OG0000242	1	2	2	5	YkuD (5)
OG0000243	1	2	2	5	N_methyl (5)
OG0000244	1	3	1	5	Usp (5),Voltage_CLC (5),CBS (5)
OG0000245	1	2	2	5	Response_reg (4)
OG0000246	1	3	1	5	Pentapeptide (2),Pentapeptide_4 (1),TPR_2 (2),TPR_12 (1),TPR_1 (2),TPR_11 (1),TPR_9 (1),TPR_16 (2),TPR_6 (1),TPR_8 (2),TPR_3 (1),TPR_7 (1)
OG0000247	1	2	2	5	Hexapep (4),SATase_N (1)
OG0000248	1	3	1	5	DUF4388 (2),Response_reg (3)
OG0000249	1	1	3	5	Ribonucleas_3_3 (3),dsrm (2),Ribonuclease_3 (3)
OG0000250	1	4	0	5	DUF4351 (2)
OG0000251	1	2	2	5	DUF4335 (3)
OG0000252	0	5	0	5	CbiA (2)
OG0000253	0	3	2	5	Phage_integrase (4),Phage_int_SAM_4 (1)
OG0000254	0	5	0	5	
OG0000255	0	5	0	5	
OG0000256	0	5	0	5	HlyD_3 (4),Biotin_lipoyl_2 (5),OEP (1)
OG0000257	0	5	0	5	
OG0000258	0	4	1	5	IF3_C (4),IF3_N (4)
OG0000259	0	5	0	5	DUF1392 (4)
OG0000260	0	5	0	5	
OG0000261	0	5	0	5	
OG0000262	0	5	0	5	
OG0000263	0	5	0	5	
OG0000264	0	5	0	5	TrbI (4)
OG0000265	0	5	0	5	XisH (4),XisI (1)
OG0000266	0	5	0	5	DDE_Tnp_1 (5),DDE_5 (5)
OG0000267	0	5	0	5	Acyl-CoA_dh_M (1),Acyl-CoA_dh_N (1),PP-binding (3),AMP-binding (5),Acyl-CoA_dh_1 (1),Condensation (2),AMP-binding_C (1)
OG0000268	0	4	1	5	HATPase_c (5),Response_reg (4),HisKA (5),GAF (1),RsbRD_N (1)
OG0000269	0	4	1	5	Glycos_transf_2 (3),Glyco_tranf_2_2 (1),Glyco_tranf_2_3 (2)
OG0000270	0	4	1	5	TPR_1 (3),TPR_11 (3),TPR_2 (3),DnaJ (3),ANAPC4_WD40 (1),WD40 (2),TPR_8 (1)
OG0000271	0	5	0	5	Aldo_ket_red (3)
OG0000272	0	5	0	5	NMT1_2 (2),OpuAC (2),NMT1 (2),SBP_bac_3 (2),Phosphonate-bd (2)
OG0000273	0	5	0	5	Abhydrolase_6 (2),Thioesterase (5)
OG0000274	0	4	1	5	eIF2A (3),ANAPC4_WD40 (2),PD40 (1),WD40 (4),Pentapeptide_3 (1),Peptidase_C14 (2),Pentapeptide (1),Pentapeptide_4 (1),AAA_16 (1)
OG0000275	0	4	1	5	Polysacc_deac_1 (5)
OG0000276	0	5	0	5	Phage_T4_gp19 (5)
OG0000277	0	4	1	5	PBP_like_2 (2)
OG0000278	0	3	2	5	Multi_Drug_Res (2),EamA (1),TMEM234 (1)
OG0000279	0	5	0	5	Glycos_transf_1 (5),Glyco_trans_4_4 (4),Glyco_trans_1_4 (5),Glyco_transf_4 (4),Glyco_trans_4_2 (1),Glyco_trans_1_2 (1)
OG0000280	0	5	0	5	AraC_binding (2),MannoseP_isomer (2),Cupin_2 (3)
OG0000281	0	4	1	5	Glycos_transf_1 (4),Glyco_trans_4_4 (3),Glyco_trans_1_4 (4),Glyco_trans_1_2 (4),Glyco_transf_4 (3),Glyco_trans_4_2 (1)
OG0000282	0	3	2	5	HATPase_c (3),CHASE3 (2),Hpt (4),Response_reg (3),GAF (4),PAS_9 (3),GAF_2 (1),PAS_4 (3),PAS_3 (3),PAS (4),PAS_8 (4),HisKA (3)
OG0000283	0	5	0	5	
